Product_Id of the Landsat product,Date,LandsatID,Total Number of observations of lakes with <25% Cloud Cover,Allen ( Lough ),Conn (Lough),Corrib Lower (Lough),Corrib Upper (Lough),Currane (Lough),Dan ( Lough ),Derg ( Lough ),Derriana Lough,Egish ( Lough ),Feeagh ( Lough ),Furnace Lough,Gill ( Lough ),Knockaderry Reservoir,Leane ( Lough ),Mask ( Lough ),Muckno ( Lough ) or Blayney Castle Lake,Owel ( Lough ),Pollaphuca Reservoir,Ramor ( Lough ),Ree ( Lough ),Sheelin ( Lough )
LT05_L1TP_206022_19840415_20170220_01_T1,15/04/1984,Landsat5,1,,,,,,,,,,,,,,,,1,,,,,
LT05_L1TP_206023_19840415_20170220_01_T1,15/04/1984,Landsat5,1,,,,,,,,,,,,,,,,,1,,,,
LT05_L1TP_207022_19840422_20170220_01_T1,22/04/1984,Landsat5,6,1,,,,,,,,1,,,1,,,,1,,,1,,1
LT05_L1TP_208022_19840429_20170220_01_T1,29/04/1984,Landsat5,4,1,,,,,,,,,1,1,1,,,,,,,,,
LT05_L1TP_208023_19840429_20170220_01_T1,29/04/1984,Landsat5,3,,,1,,,,1,,,,,,,,,,,,,1,
LT05_L1TP_208024_19840429_20170220_01_T1,29/04/1984,Landsat5,1,,,,,,,,,,,,,,1,,,,,,,
LT05_L1TP_207022_19840508_20170220_01_T1,08/05/1984,Landsat5,5,1,,,,,,,,,,,1,,,,1,,,1,,1
LT05_L1TP_206022_19840704_20170220_01_T1,04/07/1984,Landsat5,2,,,,,,,,,1,,,,,,,1,,,,,
LT05_L1TP_206023_19840704_20170220_01_T1,04/07/1984,Landsat5,3,,,,,,,,,,,,,,,,,1,,1,,1
LT05_L1TP_206022_19840922_20170220_01_T1,22/09/1984,Landsat5,1,,,,,,,,,,,,,,,,1,,,,,
LT05_L1TP_205023_19841001_20170220_01_T1,01/10/1984,Landsat5,1,,,,,,,,,,,,,,,,,,1,,,
LT05_L1TP_208022_19841107_20170220_01_T1,07/11/1984,Landsat5,3,,1,,,,,,,,1,1,,,,,,,,,,
LT05_L1TP_208023_19841107_20170220_01_T1,07/11/1984,Landsat5,1,,,,,,,,,,,,,,,1,,,,,,
LT05_L1TP_206022_19841109_20170220_01_T1,09/11/1984,Landsat5,1,,,,,,,,,,,,,,,,1,,,,,
LT05_L1TP_209022_19841114_20170220_01_T1,14/11/1984,Landsat5,2,,,,,,,,,,1,1,,,,,,,,,,
LT05_L1TP_206023_19841125_20170219_01_T1,25/11/1984,Landsat5,3,,,,,,1,,,,,,,,,,,1,,,,1
LT05_L1TP_208023_19850110_20170219_01_T1,10/01/1985,Landsat5,4,,,1,1,,,1,,,,,,,,1,,,,,,
LT05_L1TP_206023_19850112_20170219_01_T1,12/01/1985,Landsat5,2,,,,,,,,,,,,,,,,,1,,,,1
LT05_L1TP_208022_19850126_20170219_01_T1,26/01/1985,Landsat5,5,1,1,,,,,,,,1,1,1,,,,,,,,,
LT05_L1TP_208023_19850126_20170219_01_T1,26/01/1985,Landsat5,3,,,1,1,,,,,,,,,,,1,,,,,,
LT05_L1TP_205023_19850206_20170219_01_T1,06/02/1985,Landsat5,1,,,,,,,,,,,,,,,,,,1,,,
LT05_L1TP_208022_19850211_20170219_01_T1,11/02/1985,Landsat5,2,1,,,,,,,,,,,1,,,,,,,,,
LT05_L1TP_207022_19850220_20170219_01_T1,20/02/1985,Landsat5,4,1,,,,,,,,1,,,1,,,,1,,,,,
LT05_L1TP_205023_19850222_20170219_01_T1,22/02/1985,Landsat5,1,,,,,,1,,,,,,,,,,,,,,,
LT05_L1TP_207023_19850308_20170219_01_T1,08/03/1985,Landsat5,1,,,,,,,1,,,,,,,,,,,,,,
LT05_L1TP_208023_19850331_20170219_01_T1,31/03/1985,Landsat5,2,,,1,1,,,,,,,,,,,,,,,,,
LT05_L1TP_206022_19850418_20170219_01_T1,18/04/1985,Landsat5,2,,,,,,,,,1,,,,,,,1,,,,,
LT05_L1TP_206023_19850418_20170219_01_T1,18/04/1985,Landsat5,5,,,,,,1,,,,,,,,,,,1,1,1,,1
LT05_L1TP_208022_19850502_20170219_01_T1,02/05/1985,Landsat5,2,1,1,,,,,,,,,,,,,,,,,,,
LT05_L1TP_205023_19850529_20170219_01_T1,29/05/1985,Landsat5,1,,,,,,,,,,,,,,,,,,1,,,
LT05_L1TP_208022_19850603_20170219_01_T1,03/06/1985,Landsat5,5,1,1,,,,,,,,1,1,1,,,,,,,,,
LT05_L1TP_208023_19850603_20170219_01_T1,03/06/1985,Landsat5,2,,,,1,,,,,,,,,,,1,,,,,,
LT05_L1TP_208022_19850705_20170219_01_T1,05/07/1985,Landsat5,1,,,,,,,,,,,1,,,,,,,,,,
LT05_L1TP_208023_19850705_20170219_01_T1,05/07/1985,Landsat5,2,,,1,,,,,,,,,,,,1,,,,,,
LT05_L1TP_205023_19850716_20170219_01_T1,16/07/1985,Landsat5,1,,,,,,1,,,,,,,,,,,,,,,
LT05_L1TP_208022_19850721_20170219_01_T1,21/07/1985,Landsat5,2,,,,,,,,,,1,1,,,,,,,,,,
LT05_L1TP_205023_19850817_20170218_01_T1,17/08/1985,Landsat5,1,,,,,,,,,,,,,,,,,,1,,,
LT05_L1TP_207024_19850831_20170218_01_T1,31/08/1985,Landsat5,1,,,,,,,,,,,,,,1,,,,,,,
LT05_L1TP_207022_19851002_20170218_01_T1,02/10/1985,Landsat5,3,,,,,,,,,,,,1,,,,,,,1,,1
LT05_L1TP_207023_19851002_20170218_01_T1,02/10/1985,Landsat5,5,,,1,1,,,1,,,,,,,,,,1,,,1,
LT05_L1TP_207024_19851002_20170218_01_T1,02/10/1985,Landsat5,1,,,,,,,,,,,,,,1,,,,,,,
LT05_L1TP_205023_19851004_20170218_01_T1,04/10/1985,Landsat5,2,,,,,,1,,,,,,,,,,,,1,,,
LT05_L1TP_208022_19851025_20170218_01_T1,25/10/1985,Landsat5,2,1,,,,,,,,,,,1,,,,,,,,,
LT05_L1TP_208024_19851025_20170218_01_T1,25/10/1985,Landsat5,1,,,,,,,,,,,,,,1,,,,,,,
LT05_L1TP_207023_19851103_20170218_01_T1,03/11/1985,Landsat5,1,,,,,,,,,,,,,,,,,1,,,,
LT05_L1TP_207024_19851103_20170218_01_T1,03/11/1985,Landsat5,1,,,,,,,,,,,,,,1,,,,,,,
LT05_L1TP_208022_19851110_20170218_01_T1,10/11/1985,Landsat5,2,,,,,,,,,,1,1,,,,,,,,,,
LT05_L1TP_208023_19851110_20170218_01_T1,10/11/1985,Landsat5,3,,,1,1,,,,,,,,,,,1,,,,,,
LT05_L1TP_207022_19851119_20170218_01_T1,19/11/1985,Landsat5,1,,1,,,,,,,,,,,,,,,,,,,
LT05_L1TP_207023_19851119_20170218_01_T1,19/11/1985,Landsat5,3,,,1,1,,,,,,,,,,,1,,,,,,
LT05_L1TP_206022_19851128_20170218_01_T1,28/11/1985,Landsat5,2,,,,,,,,,1,,,,,,,1,,,,,
LT05_L1TP_207023_19851205_20170218_01_T1,05/12/1985,Landsat5,2,,,1,1,,,,,,,,,,,,,,,,,
LT05_L1TP_207024_19851205_20170218_01_T1,05/12/1985,Landsat5,1,,,,,,,,,,,,,,1,,,,,,,
LT05_L1TP_205023_19851207_20170218_01_T1,07/12/1985,Landsat5,2,,,,,,1,,,,,,,,,,,,1,,,
LT05_L1TP_205023_19860124_20170218_01_T1,24/01/1986,Landsat5,2,,,,,,1,,,,,,,,,,,,1,,,
LT05_L1TP_208022_19860129_20170218_01_T1,29/01/1986,Landsat5,4,1,,,,,,,,,1,1,1,,,,,,,,,
LT05_L1TP_208023_19860129_20170218_01_T1,29/01/1986,Landsat5,3,,,1,1,,,,,,,,,,,1,,,,,,
LT05_L1TP_208024_19860129_20170218_01_T1,29/01/1986,Landsat5,1,,,,,,,,,,,,,,1,,,,,,,
