ID,Name,entname,County,Found,GEE
Dundalk,Dundalk Bay,Dundalk,Louth,Yes,Yes
Knkaderry,Knockaderry Reservoir,Knockaderry Reservoir,Waterford,Yes,Yes
L_Allen,Lough Allen,Allen,"Leitrim, Roscommon",Yes,Yes
L_Currane,Lough Currane,Currane,Kerry,Yes,Yes
L_Dan,Lough Dan,Dan,Wicklow,Yes,Yes
L_Derrina,Derriana Lough,Derriana,Kerry,Yes,Yes
L_Egish,Lough Egish,Egish,Monaghan,Yes,Yes
L_Feeagh,Lough Feeagh,Feeagh,Mayo,Yes,Yes
L_Furnace,Lough Furnace,Furnance,Mayo,Yes,Yes
L_Gill,Lough Gill,Gill,Sligo,Yes,Yes
L_Muckno,Lough Muckno,Muckno or Blayney,Monaghan,Yes,Yes
L_Owel,Lough Owel,Owel,Westmeath,Yes,Yes
L_Ramor,Lough Ramor,Ramor,Cavan,Yes,Yes
L_Sheelin,Lough Sheelin,Sheelin,"Cavan, Westmeath,Meath",Yes,Yes
Polaphuca,Pollaphuca,Pollaphuca Reservoir,Wicklow,Yes,Yes
