AllLandsat_EdenCode,LakeName,LandsatID,Product_Id,CloudCoverOverLake%,EO_Date,InSitu_samp_date,Days_Between_InSitu_and_EO_obv,Search_StartDate,Search_EndDate,Data_Source
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_207022_20100430_20180201_01_T1,3.506003033,30/04/2010,27/04/2010,3,13/04/2010,11/05/2010,EPA 2007 to 2017
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_207022_20101023_20161012_01_T1,14.84592062,23/10/2010,19/10/2010,4,05/10/2010,02/11/2010,EPA 2007 to 2017
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_207022_20110503_20161010_01_T1,1.704147294,03/05/2011,19/04/2011,14,05/04/2011,03/05/2011,EPA 2007 to 2017
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_208022_20070429_20180501_01_T1,0.515820891,29/04/2007,24/04/2007,5,10/04/2007,08/05/2007,EPA 2007 to 2017
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_208022_20080415_20180126_01_T1,22.22112821,15/04/2008,15/04/2008,0,01/04/2008,29/04/2008,EPA 2007 to 2017
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_208022_20080922_20180116_01_T1,11.19018339,22/09/2008,23/09/2008,1,09/09/2008,07/10/2008,EPA 2007 to 2017
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_208022_20090418_20180309_01_T1,0.789512328,18/04/2009,21/04/2009,3,07/04/2009,05/05/2009,EPA 2007 to 2017
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_208022_20090418_20180309_01_T1,0.789512328,18/04/2009,22/04/2009,4,08/04/2009,06/05/2009,EPA 2007 to 2017
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_208022_20100421_20180131_01_T1,4.81904042,21/04/2010,27/04/2010,6,13/04/2010,11/05/2010,EPA 2007 to 2017
260155a3000,Allen ( Lough ),Landsat5,LT05_L1TP_208022_20110713_20161007_01_T1,0.0034199,13/07/2011,26/07/2011,13,12/07/2011,09/08/2011,EPA 2007 to 2017
10001710070,Dan ( Lough ),Landsat5,LT05_L1TP_205023_20070915_20180123_01_T1,0.307280587,15/09/2007,02/09/2007,13,19/08/2007,16/09/2007,EPA 2007 to 2017
10001710070,Dan ( Lough ),Landsat5,LT05_L1TP_205023_20090904_20161021_01_T1,1.226483909,04/09/2009,09/09/2009,5,26/08/2009,23/09/2009,EPA 2007 to 2017
10001710070,Dan ( Lough ),Landsat5,LT05_L1TP_205023_20090920_20161020_01_T1,0.268249503,20/09/2009,09/09/2009,11,26/08/2009,23/09/2009,EPA 2007 to 2017
10001710070,Dan ( Lough ),Landsat5,LT05_L1TP_205023_20100126_20180302_01_T1,3.057438414,26/01/2010,26/01/2010,0,12/01/2010,09/02/2010,EPA 2007 to 2017
10001710070,Dan ( Lough ),Landsat5,LT05_L1TP_205023_20100211_20180303_01_T1,11.11612228,11/02/2010,22/02/2010,11,08/02/2010,08/03/2010,EPA 2007 to 2017
